time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served,event,moviegoer,wait_time_min
0,0,0,0,0,0,0,0,arrive,0,
0,0,0,0,1,0,0,0,join_cashier_queue,0,
0,0,0,0,1,0,0,0,arrive,1,
0,0,0,0,2,0,0,0,join_cashier_queue,1,
0,0,0,0,2,0,0,0,arrive,2,
0,0,0,0,3,0,0,0,join_cashier_queue,2,
0,0,0,0,3,0,0,0,start_purchase,0,
0,0,0,0,3,0,0,0,start_purchase,1,
0,0,0,0,3,0,0,0,start_purchase,2,
0.2,0,0,0,3,0,0,0,arrive,3,
0.2,0,0,0,4,0,0,0,join_cashier_queue,3,
0.2,0,0,0,4,0,0,0,start_purchase,3,
0.4,0,0,0,4,0,0,0,arrive,4,
0.4,0,0,0,5,0,0,0,join_cashier_queue,4,
0.4,0,0,0,5,0,0,0,start_purchase,4,
0.6,0,0,0,5,0,0,0,arrive,5,
0.6,0,0,0,6,0,0,0,join_cashier_queue,5,
0.6,0,0,0,6,0,0,0,start_purchase,5,
0.8,0,0,0,6,0,0,0,arrive,6,
0.8,0,0,0,7,0,0,0,join_cashier_queue,6,
0.8,0,0,0,7,0,0,0,start_purchase,6,
1.0,0,0,0,7,0,0,0,arrive,7,
1.0,0,0,0,8,0,0,0,join_cashier_queue,7,
1,0,0,0,7,0,0,0,ticket_purchased,1,
1,0,0,0,7,1,0,0,join_usher_queue,1,
1,0,0,0,6,1,0,0,ticket_purchased,2,
1,0,1,0,6,1,0,0,join_usher_queue,2,
1.0,0,1,0,6,1,0,0,start_purchase,7,
1,0,1,0,6,1,0,0,start_ticket_check,1,
1.05,0,1,0,6,0,0,0,ticket_checked,1,
1.05,0,1,0,6,0,1,0,join_food_queue,1,
1.05,0,0,0,6,1,1,0,start_food_order,1,
1.05,0,0,0,6,1,1,0,start_ticket_check,2,
1.1,0,0,0,6,0,1,0,ticket_checked,2,
1.1,0,0,0,6,0,2,0,join_food_queue,2,
1.1,0,0,0,6,0,2,0,start_food_order,2,
1.2,0,0,0,6,0,2,0,arrive,8,
1.2,0,0,0,7,0,2,0,join_cashier_queue,8,
1.2,0,0,0,7,0,2,0,start_purchase,8,
1.4,0,0,0,7,0,2,0,arrive,9,
1.4,0,0,0,8,0,2,0,join_cashier_queue,9,
1.4,0,0,0,8,0,2,0,start_purchase,9,
1.6,0,0,0,8,0,2,0,arrive,10,
1.6,0,0,0,9,0,2,0,join_cashier_queue,10,
1.6,0,0,0,9,0,2,0,start_purchase,10,
1.6,0,0,0,8,0,2,0,ticket_purchased,5,
1.6,0,0,0,8,1,2,0,join_usher_queue,5,
1.6,0,0,0,8,1,2,0,start_ticket_check,5,
1.65,0,0,0,8,0,2,0,ticket_checked,5,
1.65,0,0,0,8,0,3,0,join_food_queue,5,
1.65,0,0,0,8,0,3,0,start_food_order,5,
1.8,0,0,0,8,0,3,0,arrive,11,
1.8,0,0,0,9,0,3,0,join_cashier_queue,11,
1.8,0,0,0,9,0,3,0,start_purchase,11,
1.8,0,0,0,8,0,3,0,ticket_purchased,6,
1.8,0,0,0,8,1,3,0,join_usher_queue,6,
1.8,0,0,0,8,1,3,0,start_ticket_check,6,
1.85,0,0,0,8,0,3,0,ticket_checked,6,
1.85,0,0,0,8,0,4,0,join_food_queue,6,
1.85,0,0,0,8,0,4,0,start_food_order,6,
2.0,0,0,0,8,0,4,0,arrive,12,
2.0,0,0,0,9,0,4,0,join_cashier_queue,12,
2.0,0,0,0,9,0,4,0,start_purchase,12,
2.0,0,0,0,8,0,4,0,ticket_purchased,7,
2.0,0,0,0,8,1,4,0,join_usher_queue,7,
2.0,0,0,0,8,1,4,0,start_ticket_check,7,
2.05,0,0,0,8,0,4,0,ticket_checked,7,
2.05,0,0,0,8,0,4,1,enter_theater,7,1.05
2.2,0,0,0,8,0,4,1,arrive,13,
2.2,0,0,0,9,0,4,1,join_cashier_queue,13,
2.2,0,0,0,9,0,4,1,start_purchase,13,
2.4,0,0,0,9,0,4,1,arrive,14,
2.4,0,0,0,10,0,4,1,join_cashier_queue,14,
2.4,0,0,0,9,0,4,1,ticket_purchased,4,
2.4,0,0,0,9,1,4,1,join_usher_queue,4,
2.4,0,0,0,8,1,4,1,ticket_purchased,9,
2.4,0,1,0,8,1,4,1,join_usher_queue,9,
2.4,0,1,0,8,1,4,1,start_purchase,14,
2.4,0,1,0,8,1,4,1,start_ticket_check,4,
2.45,0,1,0,8,0,4,1,ticket_checked,4,
2.45,0,1,0,8,0,4,2,enter_theater,4,2.05
2.45,0,0,0,8,1,4,2,start_ticket_check,9,
2.5,0,0,0,8,0,4,2,ticket_checked,9,
2.5,0,0,0,8,0,5,2,join_food_queue,9,
2.5,0,0,0,8,0,5,2,start_food_order,9,
2.6,0,0,0,7,0,5,2,ticket_purchased,10,
2.6,0,0,0,7,1,5,2,join_usher_queue,10,
2.6,0,0,0,7,1,5,2,start_ticket_check,10,
2.6,0,0,0,7,1,5,2,arrive,15,
2.6,0,0,0,8,1,5,2,join_cashier_queue,15,
2.6,0,0,0,8,1,5,2,start_purchase,15,
2.65,0,0,0,8,0,5,2,ticket_checked,10,
2.65,0,0,0,8,0,5,3,enter_theater,10,1.05
2.8,0,0,0,7,0,5,3,ticket_purchased,11,
2.8,0,0,0,7,1,5,3,join_usher_queue,11,
2.8,0,0,0,7,1,5,3,start_ticket_check,11,
2.8,0,0,0,7,1,5,3,arrive,16,
2.8,0,0,0,8,1,5,3,join_cashier_queue,16,
2.8,0,0,0,8,1,5,3,start_purchase,16,
2.85,0,0,0,8,0,5,3,ticket_checked,11,
2.85,0,0,0,8,0,5,4,enter_theater,11,1.05
3,0,0,0,7,0,5,4,ticket_purchased,0,
3,0,0,0,7,1,5,4,join_usher_queue,0,
3.0,0,0,0,6,1,5,4,ticket_purchased,12,
3.0,0,1,0,6,1,5,4,join_usher_queue,12,
3,0,1,0,6,1,5,4,start_ticket_check,0,
3.0,0,1,0,6,1,5,4,arrive,17,
3.0,0,1,0,7,1,5,4,join_cashier_queue,17,
3.0,0,1,0,7,1,5,4,start_purchase,17,
3.05,0,1,0,7,0,5,4,ticket_checked,0,
3.05,0,1,0,7,0,6,4,join_food_queue,0,
3.05,0,0,0,7,1,6,4,start_food_order,0,
3.05,0,0,0,7,1,6,4,start_ticket_check,12,
3.1,0,0,0,7,0,6,4,ticket_checked,12,
3.1,0,0,0,7,0,7,4,join_food_queue,12,
3.1,0,0,0,7,0,7,4,start_food_order,12,
3.2,0,0,0,6,0,7,4,ticket_purchased,13,
3.2,0,0,0,6,1,7,4,join_usher_queue,13,
3.2,0,0,0,6,1,7,4,start_ticket_check,13,
3.2,0,0,0,5,1,7,4,ticket_purchased,3,
3.2,0,1,0,5,1,7,4,join_usher_queue,3,
3.2,0,1,0,4,1,7,4,ticket_purchased,8,
3.2,0,2,0,4,1,7,4,join_usher_queue,8,
3.2,0,2,0,4,1,7,4,arrive,18,
3.2,0,2,0,5,1,7,4,join_cashier_queue,18,
3.2,0,2,0,5,1,7,4,start_purchase,18,
3.25,0,2,0,5,0,7,4,ticket_checked,13,
3.25,0,2,0,5,0,8,4,join_food_queue,13,
3.25,0,1,0,5,1,8,4,start_food_order,13,
3.25,0,1,0,5,1,8,4,start_ticket_check,3,
3.3,0,1,0,5,0,8,4,ticket_checked,3,
3.3,0,1,0,5,0,8,5,enter_theater,3,3.1
3.3,0,0,0,5,1,8,5,start_ticket_check,8,
3.35,0,0,0,5,0,8,5,ticket_checked,8,
3.35,0,0,0,5,0,8,6,enter_theater,8,2.15
3.4,0,0,0,5,0,8,6,arrive,19,
3.4,0,0,0,6,0,8,6,join_cashier_queue,19,
3.4,0,0,0,6,0,8,6,start_purchase,19,
3.6,0,0,0,6,0,8,6,arrive,20,
3.6,0,0,0,7,0,8,6,join_cashier_queue,20,
3.6,0,0,0,7,0,8,6,start_purchase,20,
3.65,0,0,0,7,0,7,6,food_received,5,
3.65,0,0,0,7,0,7,7,enter_theater,5,3.05
3.8,0,0,0,7,0,7,7,arrive,21,
3.8,0,0,0,8,0,7,7,join_cashier_queue,21,
3.8,0,0,0,8,0,7,7,start_purchase,21,
4.0,0,0,0,7,0,7,7,ticket_purchased,17,
4.0,0,0,0,7,1,7,7,join_usher_queue,17,
4.0,0,0,0,7,1,7,7,start_ticket_check,17,
4.0,0,0,0,7,1,7,7,arrive,22,
4.0,0,0,0,8,1,7,7,join_cashier_queue,22,
4.0,0,0,0,8,1,7,7,start_purchase,22,
4.05,0,0,0,8,0,7,7,ticket_checked,17,
4.05,0,0,0,8,0,8,7,join_food_queue,17,
4.05,0,0,0,8,0,8,7,start_food_order,17,
4.1,0,0,0,8,0,7,7,food_received,12,
4.1,0,0,0,8,0,7,8,enter_theater,12,2.1
4.2,0,0,0,8,0,7,8,arrive,23,
4.2,0,0,0,9,0,7,8,join_cashier_queue,23,
4.2,0,0,0,9,0,7,8,start_purchase,23,
4.4,0,0,0,8,0,7,8,ticket_purchased,14,
4.4,0,0,0,8,1,7,8,join_usher_queue,14,
4.4,0,0,0,7,1,7,8,ticket_purchased,19,
4.4,0,1,0,7,1,7,8,join_usher_queue,19,
4.4,0,1,0,7,1,7,8,start_ticket_check,14,
4.4,0,1,0,7,1,7,8,arrive,24,
4.4,0,1,0,8,1,7,8,join_cashier_queue,24,
4.4,0,1,0,8,1,7,8,start_purchase,24,
4.45,0,1,0,8,0,7,8,ticket_checked,14,
4.45,0,1,0,8,0,7,9,enter_theater,14,2.05
4.45,0,0,0,8,1,7,9,start_ticket_check,19,
4.5,0,0,0,8,1,6,9,food_received,9,
4.5,0,0,0,8,1,6,10,enter_theater,9,3.1
4.5,0,0,0,8,0,6,10,ticket_checked,19,
4.5,0,0,0,8,0,6,11,enter_theater,19,1.1
4.6,0,0,0,8,0,6,11,arrive,25,
4.6,0,0,0,9,0,6,11,join_cashier_queue,25,
4.6,0,0,0,9,0,6,11,start_purchase,25,
4.8,0,0,0,8,0,6,11,ticket_purchased,16,
4.8,0,0,0,8,1,6,11,join_usher_queue,16,
4.8,0,0,0,8,1,6,11,start_ticket_check,16,
4.8,0,0,0,8,1,6,11,arrive,26,
4.8,0,0,0,9,1,6,11,join_cashier_queue,26,
4.8,0,0,0,9,1,6,11,start_purchase,26,
4.85,0,0,0,9,0,6,11,ticket_checked,16,
4.85,0,0,0,9,0,7,11,join_food_queue,16,
4.85,0,0,0,9,0,7,11,start_food_order,16,
5.0,0,0,0,9,0,7,11,arrive,27,
5.0,0,0,0,10,0,7,11,join_cashier_queue,27,
5.0,0,0,0,10,0,7,11,start_purchase,27,
5.2,0,0,0,9,0,7,11,ticket_purchased,18,
5.2,0,0,0,9,1,7,11,join_usher_queue,18,
5.2,0,0,0,8,1,7,11,ticket_purchased,23,
5.2,0,1,0,8,1,7,11,join_usher_queue,23,
5.2,0,1,0,8,1,7,11,start_ticket_check,18,
5.2,0,1,0,8,1,7,11,arrive,28,
5.2,0,1,0,9,1,7,11,join_cashier_queue,28,
5.2,0,1,0,9,1,7,11,start_purchase,28,
5.25,0,1,0,9,0,7,11,ticket_checked,18,
5.25,0,1,0,9,0,7,12,enter_theater,18,2.05
5.25,0,0,0,9,1,7,12,start_ticket_check,23,
5.3,0,0,0,9,0,7,12,ticket_checked,23,
5.3,0,0,0,9,0,8,12,join_food_queue,23,
5.3,0,0,0,9,0,8,12,start_food_order,23,
5.4,0,0,0,9,0,8,12,arrive,29,
5.4,0,0,0,10,0,8,12,join_cashier_queue,29,
5.4,0,0,0,10,0,8,12,start_purchase,29,
5.6,0,0,0,9,0,8,12,ticket_purchased,15,
5.6,0,0,0,9,1,8,12,join_usher_queue,15,
5.6,0,0,0,9,1,8,12,start_ticket_check,15,
5.6,0,0,0,9,1,8,12,arrive,30,
5.6,0,0,0,10,1,8,12,join_cashier_queue,30,
5.6,0,0,0,10,1,8,12,start_purchase,30,
5.65,0,0,0,10,0,8,12,ticket_checked,15,
5.65,0,0,0,10,0,8,13,enter_theater,15,3.05
5.8,0,0,0,9,0,8,13,ticket_purchased,21,
5.8,0,0,0,9,1,8,13,join_usher_queue,21,
5.8,0,0,0,9,1,8,13,start_ticket_check,21,
5.8,0,0,0,8,1,8,13,ticket_purchased,26,
5.8,0,1,0,8,1,8,13,join_usher_queue,26,
5.8,0,1,0,8,1,8,13,arrive,31,
5.8,0,1,0,9,1,8,13,join_cashier_queue,31,
5.8,0,1,0,9,1,8,13,start_purchase,31,
5.85,0,1,0,9,1,7,13,food_received,16,
5.85,0,1,0,9,1,7,14,enter_theater,16,3.05
5.85,0,1,0,9,0,7,14,ticket_checked,21,
5.85,0,1,0,9,0,7,15,enter_theater,21,2.05
5.85,0,0,0,9,1,7,15,start_ticket_check,26,
5.9,0,0,0,9,0,7,15,ticket_checked,26,
5.9,0,0,0,9,0,8,15,join_food_queue,26,
5.9,0,0,0,9,0,8,15,start_food_order,26,
6.0,0,0,0,9,0,8,15,arrive,32,
6.0,0,0,0,10,0,8,15,join_cashier_queue,32,
6.0,0,0,0,10,0,8,15,start_purchase,32,
6.05,0,0,0,10,0,7,15,food_received,1,
6.05,0,0,0,10,0,7,16,enter_theater,1,6.05
6.05,0,0,0,10,0,6,16,food_received,0,
6.05,0,0,0,10,0,6,17,enter_theater,0,6.05
6.1,0,0,0,10,0,5,17,food_received,2,
6.1,0,0,0,10,0,5,18,enter_theater,2,6.1
6.2,0,0,0,9,0,5,18,ticket_purchased,28,
6.2,0,0,0,9,1,5,18,join_usher_queue,28,
6.2,0,0,0,9,1,5,18,start_ticket_check,28,
6.2,0,0,0,9,1,5,18,arrive,33,
6.2,0,0,0,10,1,5,18,join_cashier_queue,33,
6.2,0,0,0,10,1,5,18,start_purchase,33,
6.25,0,0,0,10,1,4,18,food_received,13,
