time_min,cashier_queue,usher_queue,food_queue,cashiers_busy,ushers_busy,servers_busy,total_served
0,0,0,0,0,0,0,0
0.25,0,0,0,4,0,0,0
0.5,0,0,0,5,0,0,0
0.75,1,0,0,5,0,0,0
1.0,2,0,0,5,0,0,0
1.25,2,0,0,5,0,2,0
1.5,3,0,0,5,0,2,0
1.75,4,0,0,5,0,2,0
2.0,6,0,0,5,0,2,0
2.25,5,0,0,5,0,3,1
2.5,5,0,1,5,0,3,1
2.75,6,0,1,5,0,3,1
3.0,7,0,1,5,0,3,1
3.25,6,0,0,5,1,3,4
3.5,7,0,0,5,0,3,5
3.75,8,0,0,5,0,3,5
4.0,9,0,0,5,0,3,5
4.25,9,0,0,5,0,2,8
4.5,10,0,0,5,0,2,8
4.75,11,0,0,5,0,2,8
5.0,12,0,0,5,0,2,8
5.25,12,0,0,5,0,3,9
5.5,12,0,1,5,0,3,9
5.75,13,0,1,5,0,3,9
6.0,14,0,1,5,0,3,9
6.25,13,0,0,5,1,3,12
6.5,14,0,0,5,0,3,13
6.75,15,0,0,5,0,3,13
7.0,16,0,0,5,0,3,13
7.25,16,0,0,5,1,3,14
7.5,16,0,1,5,0,3,15
7.75,17,0,1,5,0,3,15
8.0,18,0,1,5,0,3,15
8.25,17,0,3,5,0,3,16
8.5,18,0,3,5,0,3,16
8.75,19,0,3,5,0,3,16
9.0,20,0,3,5,0,3,16
9.25,20,0,3,5,0,3,18
9.5,21,0,3,5,0,3,18
9.75,22,0,3,5,0,3,18
10.0,24,0,3,5,0,3,18
10.25,23,0,2,5,1,3,20
10.5,23,0,2,5,0,3,22
10.75,24,0,2,5,0,3,22
11.0,26,0,2,5,0,3,22
11.25,25,0,2,5,0,3,24
11.5,25,0,2,5,0,3,25
11.75,26,0,2,5,0,3,25
12.0,28,0,2,5,0,3,25
12.25,28,0,1,5,1,3,26
12.5,28,0,2,5,0,3,27
12.75,29,0,2,5,0,3,27
13.0,31,0,2,5,0,3,27
13.25,31,0,2,5,0,3,28
13.5,32,0,2,5,0,3,28
13.75,33,0,2,5,0,3,28
14.0,35,0,2,5,0,3,28
14.25,32,0,3,5,1,3,30
14.5,33,0,3,5,0,3,31
14.75,34,0,3,5,0,3,31
15.0,36,0,3,5,0,3,31
15.25,37,0,3,5,0,3,31
15.5,37,0,3,5,0,3,32
15.75,38,0,3,5,0,3,32
16.0,40,0,3,5,0,3,32
16.25,38,0,1,5,0,3,37
16.5,39,0,1,5,0,3,37
16.75,40,0,1,5,0,3,37
17.0,42,0,1,5,0,3,37
17.25,40,0,2,5,1,3,38
17.5,40,0,4,5,0,3,38
17.75,41,0,4,5,0,3,38
